log10(f/Hz),log10(h2OmegaN)
-6.9796410509,-10.1967081052
-6.8781011604,-10.4110871498
-6.7568071767,-10.653675538
-6.6382554327,-10.8741503382
-6.5230813667,-11.0770897692
-6.4053043818,-11.3250442512
-6.2897429363,-11.55130411
-6.1712183767,-11.7736236046
-6.0526938172,-11.9959430992
-5.9341692577,-12.2132852917
-5.8097184702,-12.4264797324
-5.6911939107,-12.6363559718
-5.5697062372,-12.8393192915
-5.4482185636,-13.0361992419
-5.3237677761,-13.2253367224
-5.2022801026,-13.4081834461
-5.0778293151,-13.5825272786
-4.9504154136,-13.7479534448
-4.8259646261,-13.9088862133
-4.7015138386,-14.063182579
-4.5740999371,-14.2053122061
-4.4437229217,-14.3401141385
-4.3163090202,-14.4663440505
-4.1859320047,-14.5775037978
-4.0525918752,-14.6618414171
-3.9222148597,-14.7202555878
-3.7888747303,-14.7409252174
-3.6555346008,-14.7193569082
-3.5251575853,-14.6555506602
-3.3947805699,-14.5674800644
-3.2644035544,-14.4560438003
-3.1369896529,-14.3153658863
-3.0125388654,-14.1253988554
-2.8999405338,-13.8607722928
-2.8021577722,-13.5330999034
-2.7132643526,-13.1745267633
-2.6302971609,-12.7970813527
-2.5473299692,-12.4106491465
-2.4702890056,-12.02511562
-2.3902849279,-11.6331279403
-2.3102808502,-11.239669694
-2.2332398865,-10.8496427697
-2.1561989228,-10.4596158454
-2.0732317311,-10.0615008052
-1.9961907675,-9.6714738808
-1.9191498038,-9.2823456361
-1.8421088401,-8.8905213527
-1.7621047624,-8.4959193325
-1.6821006847,-8.1014807085
-1.605059721,-7.7096564251
-1.5280187573,-7.3205281804
-1.4480146796,-6.9263346509
-1.368010602,-6.5305888567
-1.2909696383,-6.1405619324
-1.2139286746,-5.7505350081
-1.1339245969,-5.3567499693
-1.0539205192,-4.9605956844
-0.9768795555,-4.5714674396
-0.8998385918,-4.1823391948
-0.8198345142,-3.78618491
-0.7427935505,-3.3950142117
-0.6627894728,-3.0014742673
-0.5857485091,-2.611447343
-0.5087075454,-2.2214204187
-0.4287034677,-1.8264099078
-0.34869939,-1.4323797746
-0.2716584264,-1.0423528502
-0.1946174627,-0.6514272464
-0.114613385,-0.2568252262
